,country,active,population,percentActive
0,India,340,1295210000,26.250569405733433
1,United States,200,323947000,61.738494259863494
2,Indonesia,140,258705000,54.11569161786591
3,Brazil,130,206135893,63.065193600223715
4,Mexico,98,122273473,80.14821007006155
5,Philippines,88,103279800,85.20543223360231
6,Vietnam,71,92700000,76.59115426105717
7,Thailand,54,65327652,82.6602492922905
8,Egypt,47,91290000,51.484280863183265
9,Bangladesh,46,161006790,28.570223653300587
10,Pakistan,45,194125062,23.18093271233572
11,Colombia,38,48759958,77.93279887566761
12,United Kingdom,38,65110000,58.36277069574566
13,Turkey,37,78741053,46.98946558410896
14,France,33,66710000,49.46784590016489
15,Argentina,31,43590400,71.11657612685362
16,Italy,31,60665551,51.099840830589336
17,Nigeria,31,186988000,16.578603974586603
18,Germany,28,81770900,34.24201029950753
19,Peru,27,31488700,85.74504504790607
