,channelName,totalSubs,totalCostOfSubs,twitchCuts,totalEarnings
1,RanbooLive,114322.0,407894.94,203289.94,255807.5
2,xQcOW,75139.0,125059.43000000001,62176.93000000001,147895.0
3,NICKMERCS,57700.0,152240.45,75327.95000000001,111122.5
4,HasanAbi,55035.0,98657.06000000001,49009.56000000001,92175.0
5,Gaules,,,,
6,AdinRoss,50336.0,118728.38,59193.380000000005,98737.5
7,ibai,45868.0,86787.28,43247.28,113835.0
8,auronplay,45048.0,104293.63,51931.130000000005,102075.0
9,Sintica,,,,
10,summit1g,37416.0,97974.54,48624.53999999999,77382.5
11,casimito,31117.0,26008.17,12968.169999999998,68585.0
12,MontanaBlack88,29022.0,67276.32,33526.32000000001,66227.5
13,Repullze,,,,
14,Trainwreckstv,26336.0,79507.26,39592.259999999995,57235.0
15,Philza,,,,
16,chowh1,23925.0,96620.56,48013.06,58110.0
17,ludwig,,,,
18,LVNDMARK,23681.0,67420.27,33157.770000000004,56697.5
19,juansguarnizo,23228.0,58643.91,29198.910000000003,51982.5
20,Amouranth,22648.0,81019.78000000001,40312.28000000001,52667.5
21,Odablock,,,,
22,Anastasia_Rose_Official,,,,
23,MOONMOON,21247.0,57008.29,27768.29,51417.5
24,Sykkuno,21221.0,78462.95000000001,38932.95000000001,50885.0
25,alanzoka,20862.0,16598.640000000003,8188.640000000003,46437.5
26,moistcr1tikal,20171.0,59665.64000000001,29538.140000000007,47617.5
27,Mizkif,20121.0,44622.18,22192.18,39840.0
28,PaymoneyWubby,20000.0,71592.23000000001,35454.73000000001,47950.0
29,iiTzTimmy,19913.0,64737.439999999995,32194.939999999995,47077.5
30,AdmiralBahroo,19484.0,47963.520000000004,23683.520000000004,37547.5
31,LIRIK,19105.0,37611.05,18706.050000000003,42947.5
32,TheRealKnossi,18350.0,44991.15,22401.15,41780.0
33,richwcampbell,18315.0,72018.12,35813.119999999995,44652.5
34,Pestily,17857.0,80125.3,39460.3,47625.0
35,JLTomy,17391.0,49641.950000000004,24709.450000000004,39565.0
36,Locklear,17327.0,58711.4,29118.9,41695.0
37,BobbyPoffGaming,,,,
38,VooDooSh,16978.0,86177.05000000002,42752.05000000002,43542.5
39,MckyTV,16962.0,51698.200000000004,25703.200000000004,40060.0
40,tommyinnit,16774.0,40335.450000000004,20082.950000000004,32392.5
41,LuckyChamu,,,,
42,TimTheTatman,16658.0,45007.03999999999,22377.039999999994,37942.5
43,Zoomaa,,,,
44,RATIRL,16326.0,58901.01,28901.010000000002,40712.5
45,LosPollosTV,16197.0,54406.64,27119.14,37705.0
46,BruceGreene,,,,
47,Kamet0,15702.0,40260.38,20042.879999999997,35900.0
48,Tubbo,15578.0,65685.61,32683.11,39605.0
49,alexelcapo,15500.0,19126.930000000004,9536.930000000004,34825.0
50,Jerma985,15261.0,33834.01,16804.010000000002,34757.5
51,GRONKH,15062.0,44627.149999999994,22229.649999999994,34997.5
52,scump,15009.0,56338.27,28058.269999999997,35410.0
53,Rubius,14812.0,30555.460000000003,15155.460000000003,33820.0
54,WELOVEGAMES,,,,
55,NoWay4u_Sir,14613.0,23085.920000000002,11418.420000000002,33367.5
56,loltyler1,14604.0,26793.05,13285.55,33295.0
